Shan	Kyaukme	Kyaukme	82749	89360	21501	23210	61248	66150
Shan	Kyaukme	Nawnghkio	75761	74081	9093	9729	66668	64352
Shan	Kyaukme	Hsipaw	85836	90322	10202	10695	75634	79627
Shan	Kyaukme	Namtu	24448	25975	6171	7127	18277	18848
Shan	Kyaukme	Namhsan	32708	39496	1982	2156	30726	37340
Shan	Kyaukme	Mongmit	31545	31785	4778	5482	26767	26303
Shan	Kyaukme	Mabein	24494	22904	1619	1622	22875	21282
Shan	Kyaukme	Manton	18562	20039	2090	2012	16472	18027
Shan	Kunlong	Kunlong	30900	27874	2756	2793	28144	25081
Shan	Laukkaing	Laukkaing	50033	44817	13856	12717	36177	32100
Shan	Laukkaing	Konkyan	31071	28991	884	726	30187	28265
Shan	Hopang	Hopang	31469	29631	10445	10017	21024	19614
Shan	Hopang	Mongmao	36313	34370	2895	2760	33418	31610
Shan	Hopang	Pangwaun	48791	48306	1757	1679	47034	46627
Shan	Matman	Matman	10068	9664	170	122	9898	9542
Shan	Matman	Pangsang	55041	50931	8293	8062	46748	42869
Shan	Matman	Narphan	59369	56811	497	473	58872	56338
Shan	Kengtung	Kengtung	87779	83841	22212	22077	65567	61764
Shan	Kengtung	Mongkhet	22873	21655	1642	1185	21231	20470
Shan	Kengtung	Mongyang	55075	52570	2761	2205	52314	50365
Shan	Kengtung	Mongla	22266	20802	11028	9425	11238	11377
Shan	Monghsat	Monghsat	55274	49375	5239	4206	50035	45169
Shan	Monghsat	Mongping	34992	33841	4669	4237	30323	29604
Shan	Monghsat	Mongton	38324	31765	5227	4197	33097	27568
Shan	Tachileik	Tachileik	90124	87189	28974	29793	61150	57396
Shan	Monghpyak	Monghpyak	16209	14347	3251	2823	12958	11524
Shan	Monghpyak	Mongyawng	41874	38016	2997	2855	38877	35161
Ayeyarwady	Pathein	Kangyidaunt	86897	91093	5421	5671	81476	85422
Ayeyarwady	Pathein	Kyaunggon	78755	84280	7496	8556	71259	75724
Ayeyarwady	Pathein	Kyonpyaw	113738	121989	11315	12651	102423	109338
Ayeyarwady	Pathein	Ngapudaw	163012	161467	14405	14327	148607	147140
Ayeyarwady	Pathein	Pathein	184804	196181	88719	98723	96085	97458
Ayeyarwady	Pathein	Yegyi	92387	101713	13530	15840	78857	85873
Ayeyarwady	Pathein	Thabaung	75663	78737	3423	3877	72240	74860
Ayeyarwady	Pyapon	Kyaiklat	94837	98503	11719	12760	83118	85743
Ayeyarwady	Pyapon	Dedaye	99614	103312	7231	8089	92383	95223
Ayeyarwady	Pyapon	Pyapon	155606	158516	25665	26821	129941	131695
Ayeyarwady	Pyapon	Bogale	159296	163369	20530	22694	138766	140675
Ayeyarwady	Maubin	Nyaungdon	105713	110193	11566	12889	94147	97304
Ayeyarwady	Maubin	Danubyu	85775	93578	9977	11785	75798	81793
Ayeyarwady	Maubin	Pantanaw	128122	136474	9385	10435	118737	126039
